Date,Room,GPP,R_leaf,R_stem,R_root,R_leaf_se,R_stem_se,R_root_se,LA,LA_SE,Leafmass,Leafmass_SE,Stemmass,Stemmass_SE,Rootmass,Rootmass_SE
24/02/2016,2,0.64401674,0.053872239,0.038001525,0.032877762,0.00031593,0.000331535,0.000257059,0.109122135,0.007763586,1.936995858,0.140752848,1.040910345,0.07083655,0.785943422,0.049738686
2/02/2016,2,0.194710882,0.05270812,0.037498473,0.032442536,0.00031593,0.000331535,0.000257059,0.02235915,0.000988535,0.429042453,0.018098118,0.155551299,0.008603361,0.208922805,0.007695562
31/01/2016,2,0.140193188,0.052892089,0.037078895,0.03207953,0.00031593,0.000331535,0.000257059,0.017540593,0.000799484,0.337039047,0.014737414,0.121331755,0.006828097,0.169240127,0.00646133
29/01/2016,2,0.080400595,0.052385548,0.036957093,0.03197415,0.00031593,0.000331535,0.000257059,0.012722035,0.000610433,0.245035641,0.01137671,0.08711221,0.005052834,0.129557449,0.005227097
7/02/2016,2,0.241385562,0.052363592,0.037340526,0.032305885,0.00031593,0.000331535,0.000257059,0.034405544,0.001461163,0.659050969,0.026499877,0.24110016,0.01304152,0.308129501,0.010781144
16/02/2016,2,0.404214905,0.051830198,0.037599409,0.032529862,0.00031593,0.000331535,0.000257059,0.066472081,0.003956741,1.242873486,0.075936404,0.51420081,0.031473812,0.534401388,0.028215237
3/02/2016,2,0.191465177,0.051789722,0.037571033,0.032505313,0.00031593,0.000331535,0.000257059,0.024768429,0.001083061,0.475044156,0.019778469,0.172661071,0.009490993,0.228764145,0.008312679
1/02/2016,2,0.114879447,0.053457683,0.036320548,0.031423431,0.00031593,0.000331535,0.000257059,0.019949872,0.000894009,0.38304075,0.016417766,0.138441527,0.007715729,0.189081466,0.007078446
10/02/2016,2,0.354381648,0.052298813,0.037988703,0.032866668,0.00031593,0.000331535,0.000257059,0.044229137,0.002155952,0.839507876,0.040119272,0.322207651,0.018315317,0.379578477,0.015602505
8/02/2016,2,0.304623242,0.05192226,0.038028732,0.0329013,0.00031593,0.000331535,0.000257059,0.036814823,0.001555689,0.705052672,0.028180228,0.258209932,0.013929152,0.32797084,0.011398261
17/02/2016,2,0.442907193,0.050595114,0.039158139,0.033878429,0.00031593,0.000331535,0.000257059,0.070179238,0.004256873,1.310101088,0.081905926,0.54619967,0.033666894,0.560205207,0.030317359
18/02/2016,2,0.472010608,0.051895708,0.038208039,0.033056431,0.00031593,0.000331535,0.000257059,0.073886395,0.004557005,1.377328689,0.087875448,0.57819853,0.035859977,0.586009025,0.032419481
22/02/2016,2,0.602490478,0.052700019,0.039587364,0.034249781,0.00031593,0.000331535,0.000257059,0.098366468,0.007620502,1.75530403,0.139777655,0.921112521,0.066991417,0.721683522,0.049806469
9/02/2016,2,0.268688803,0.052576179,0.037233716,0.032213476,0.00031593,0.000331535,0.000257059,0.04052198,0.00185582,0.772280274,0.03414975,0.290208792,0.016122234,0.353774658,0.013500383
23/02/2016,2,0.617475344,0.054930473,0.036520615,0.031596523,0.00031593,0.000331535,0.000257059,0.104486486,0.008386377,1.849797865,0.152753206,1.006841019,0.074774277,0.755602146,0.054153216
21/02/2016,2,0.469821258,0.053210197,0.037344532,0.032309351,0.00031593,0.000331535,0.000257059,0.09224645,0.006854628,1.660810195,0.126802103,0.835384023,0.059208557,0.687764898,0.045459722
19/02/2016,2,0.51389914,0.052791942,0.038067487,0.032934829,0.00031593,0.000331535,0.000257059,0.080006413,0.005322879,1.471822524,0.100850999,0.663927028,0.043642837,0.619927649,0.036766228
20/02/2016,2,0.373540356,0.053020702,0.037070808,0.032072533,0.00031593,0.000331535,0.000257059,0.086126432,0.006088754,1.56631636,0.113826551,0.749655526,0.051425697,0.653846273,0.041112975
18/01/2016,3,0.059832438,0.048413698,0.030096285,0.030558865,0.000246059,0.000359376,9.37E-05,0.007146111,0.000357044,0.124057607,0.006769626,0.031460954,0.002140236,0.066649363,0.003097672
16/01/2016,3,0.037322425,0.048470513,0.028694698,0.029135736,0.000246059,0.000359376,9.37E-05,0.006262404,0.000310748,0.110963404,0.005964991,0.028025127,0.001878604,0.058664699,0.002698272
17/01/2016,3,0.047470241,0.048336757,0.029271784,0.029721692,0.000246059,0.000359376,9.37E-05,0.006704258,0.000333896,0.117510506,0.006367308,0.029743041,0.00200942,0.062657031,0.002897972
15/01/2016,3,0.032209115,0.048361664,0.027961556,0.028391326,0.000246059,0.000359376,9.37E-05,0.00582055,0.0002876,0.104416303,0.005562674,0.026307213,0.001747788,0.054672367,0.002498572
6/02/2016,3,0.276447758,0.043500033,0.027248336,0.027667143,0.000246059,0.000359376,9.37E-05,0.049614546,0.002055967,1.011016002,0.044887933,0.416870461,0.023451456,0.406706407,0.01592731
4/02/2016,3,0.188803705,0.043768044,0.02712533,0.027542247,0.000246059,0.000359376,9.37E-05,0.042692737,0.001787084,0.862577315,0.038642663,0.349554759,0.019820961,0.352553522,0.013962206
19/01/2016,3,0.068942755,0.047180962,0.032271352,0.032767363,0.000246059,0.000359376,9.37E-05,0.008278141,0.000405939,0.145956037,0.007771084,0.039709839,0.002637636,0.076286269,0.003496339
8/01/2016,3,0.018010168,0.041975008,0.027566908,0.027990612,0.000246059,0.000359376,9.37E-05,0.002727574,0.000125564,0.058586592,0.002746455,0.014281819,0.000832076,0.026726043,0.001100673
20/01/2016,3,0.078369099,0.046773792,0.032271352,0.032767363,0.000246059,0.000359376,9.37E-05,0.00941017,0.000454834,0.167854468,0.008772543,0.047958724,0.003135035,0.085923176,0.003895006
9/01/2016,3,0.015845314,0.044105857,0.029071824,0.029518658,0.000246059,0.000359376,9.37E-05,0.003169428,0.000148712,0.065133694,0.003148772,0.015999732,0.000962892,0.030718375,0.001300373
7/02/2016,3,0.350871121,0.042891663,0.027192163,0.027610107,0.000246059,0.000359376,9.37E-05,0.053075451,0.002190408,1.085235346,0.048010569,0.450528312,0.025266703,0.433782849,0.016909861
5/02/2016,3,0.25498589,0.043576708,0.026843048,0.027255626,0.000246059,0.000359376,9.37E-05,0.046153642,0.001921526,0.936796659,0.041765298,0.38321261,0.021636209,0.379629965,0.014944758
14/01/2016,3,0.0357116,0.047365426,0.028291042,0.028725875,0.000246059,0.000359376,9.37E-05,0.005378696,0.000264452,0.097869201,0.005160357,0.0245893,0.001616972,0.050680035,0.002298872
23/01/2016,3,0.085508332,0.049483758,0.027098387,0.027514889,0.000246059,0.000359376,9.37E-05,0.012806258,0.00060152,0.233549758,0.01177692,0.072705378,0.004627234,0.114833895,0.005091008
21/01/2016,3,0.030434208,0.049927994,0.027285231,0.027704606,0.000246059,0.000359376,9.37E-05,0.010542199,0.00050373,0.189752898,0.009774002,0.056207609,0.003632435,0.095560082,0.004293673
10/01/2016,3,0.026388213,0.044458243,0.029225431,0.029674626,0.000246059,0.000359376,9.37E-05,0.003611282,0.00017186,0.071680795,0.003551089,0.017717646,0.001093708,0.034710707,0.001500072
8/02/2016,3,0.443178818,0.042569602,0.027760079,0.028186752,0.000246059,0.000359376,9.37E-05,0.056536356,0.002324849,1.159454689,0.051133204,0.484186163,0.02708195,0.460859291,0.017892413
28/01/2016,3,0.136830413,0.046255448,0.02794773,0.028377287,0.000246059,0.000359376,9.37E-05,0.018466404,0.000845996,0.34304191,0.016784214,0.113949802,0.007114231,0.163018427,0.007084343
26/01/2016,3,0.100573805,0.048942614,0.027263063,0.027682097,0.000246059,0.000359376,9.37E-05,0.016202345,0.000748206,0.299245049,0.014781297,0.097452033,0.006119432,0.143744614,0.006287009
24/01/2016,3,0.055423088,0.048154668,0.025843704,0.026240922,0.000246059,0.000359376,9.37E-05,0.013938287,0.000650415,0.255448189,0.012778379,0.080954263,0.005124633,0.124470801,0.005489675
22/01/2016,3,0.033701601,0.049659615,0.027285231,0.027704606,0.000246059,0.000359376,9.37E-05,0.011674228,0.000552625,0.211651328,0.010775461,0.064456493,0.004129834,0.105196989,0.00469234
11/01/2016,3,0.034596523,0.045165371,0.029432799,0.029885182,0.000246059,0.000359376,9.37E-05,0.004053135,0.000195008,0.078227897,0.003953406,0.019435559,0.001224524,0.038703039,0.001699772
